key,title,year,source,decision,reason,axis_primary,pass1_axis,pass2_axis,axis_agreement,preprint_inclusion_subcriterion
safetyarithmetic2025,Safety Arithmetic: A Framework for Test-time Safety Alignment by Steering Parameters and Activations,2025,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
weaksupervision2026,Can Safety Emerge from Weak Supervision? A Systematic Analysis of Small Language Models,2026,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,c
inan2023llamaguard,Llama Guard,2023,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
rebedea2023nemo,NeMo Guardrails,2023,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
han2024wildguard,WildGuard,2024,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
sharma2025constitutional,Constitutional Classifiers: Defending against Universal Jailbreaks across Thousands of Hours of Red Teaming,2025,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
nakka2025litelmguard,LiteLMGuard,2025,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
krishna2025dsa,Disentangled safety adapters enable efficient guardrails and flexible inference-time alignment,2025,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
gehman2020realtoxicity,RealToxicityPrompts,2020,manual-foundational,foundational,pre-2022 work essential to context; included regardless of citation threshold (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
hartvigsen2022toxigen,ToxiGen,2022,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
lin2022truthfulqa,TruthfulQA,2022,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
parrish2022bbq,BBQ,2022,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
nadeem2021stereoset,StereoSet,2021,manual-foundational,foundational,pre-2022 work essential to context; included regardless of citation threshold (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
nangia2020crows,CrowS-Pairs,2020,manual-foundational,foundational,pre-2022 work essential to context; included regardless of citation threshold (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
dhamala2021bold,BOLD,2021,manual-foundational,foundational,pre-2022 work essential to context; included regardless of citation threshold (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
sheng2019regard,The woman worked as a babysitter: On biases in language generation,2019,manual-foundational,foundational,pre-2022 work essential to context; included regardless of citation threshold (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
zhao2018winobias,Gender bias in coreference resolution: Evaluation and debiasing methods,2018,manual-foundational,foundational,pre-2022 work essential to context; included regardless of citation threshold (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
rudinger2018winogender,Gender bias in coreference resolution,2018,manual-foundational,foundational,pre-2022 work essential to context; included regardless of citation threshold (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
mazeika2024harmbench,HarmBench,2024,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
wang2023decodingtrust,DecodingTrust,2023,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
li2024salad,SALAD-Bench,2024,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
huang2024trustllm,TrustLLM,2024,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
xie2024sorry,SORRY-Bench,2025,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
cui2024orbench,OR-Bench,2024,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
li2023halueval,HaluEval,2023,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
min2023factscore,FActScore,2023,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
liang2022helm,Holistic evaluation of language models,2022,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
vidgen2024mlcommons,MLCommons AI Safety,2024,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
chao2024jailbreakbench,JailbreakBench,2024,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
souly2024strongreject,A strongreject for empty jailbreaks,2024,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
andriushchenko2024agentharm,AgentHarm,2024,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
ruan2024toolemu,Identifying the risks of LM,2024,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
vidgen2023simplesafety,SimpleSafetyTests,2023,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
ji2023beavertails,BeaverTails,2023,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
gao2023lmeval,A framework for few-shot language model evaluation,2023,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
ailuminate2025,AILuminate,2025,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
polyguard2025,PolyGuard,2025,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
malert2025,M-ALERT,2025,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
safearena2025,SafeArena,2025,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
halluhard2026,HalluHard,2026,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,c
atbench2026,ATBench,2026,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,c
osharm2025,OS-Harm,2025,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
openagentsafety2025,OpenAgentSafety,2025,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
linguasafetybench2026,Lingua-SafetyBench,2026,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,c
ren2024safetywashing,Safetywashing: Do AI,2024,arxiv,included,relevant to axis 'evaluation (cross-axis)'; passed full-text screening (§3.2),evaluation (cross-axis),evaluation (cross-axis),evaluation (cross-axis),yes,
hong2024compressed,Decoding compressed trust: Scrutinizing the trustworthiness of efficient LLMs,2024,arxiv,included,relevant to axis 'efficiency-safety'; passed full-text screening (§3.2),efficiency-safety,efficiency-safety,efficiency-safety,yes,
wee2025caq,Safety-preserving PTQ,2025,arxiv,included,relevant to axis 'efficiency-safety'; passed full-text screening (§3.2),efficiency-safety,efficiency-safety,efficiency-safety,yes,
chen2025qresafe,Q-resafe: Assessing safety risks and quantization-aware safety patching for quantized LLMs,2025,arxiv,included,relevant to axis 'efficiency-safety'; passed full-text screening (§3.2),efficiency-safety,efficiency-safety,efficiency-safety,yes,
hsu2024safelora,Safe LoRA,2024,arxiv,included,relevant to axis 'efficiency-safety'; passed full-text screening (§3.2),efficiency-safety,efficiency-safety,efficiency-safety,yes,
xue2025lora,LoRA,2025,arxiv,included,relevant to axis 'efficiency-safety'; passed full-text screening (§3.2),efficiency-safety,efficiency-safety,efficiency-safety,yes,
mou2025decoupling,Decoupling safety into orthogonal subspace,2025,arxiv,included,relevant to axis 'efficiency-safety'; passed full-text screening (§3.2),efficiency-safety,efficiency-safety,efficiency-safety,yes,
salora2025,SaLoRA,2025,arxiv,included,relevant to axis 'efficiency-safety'; passed full-text screening (§3.2),efficiency-safety,efficiency-safety,efficiency-safety,yes,
wei2024brittleness,Assessing the brittleness of safety alignment via pruning and low-rank modifications,2024,arxiv,included,relevant to axis 'efficiency-safety'; passed full-text screening (§3.2),efficiency-safety,efficiency-safety,efficiency-safety,yes,
niu2025nspo,Mitigating the safety alignment tax with null-space constrained policy optimization,2026,arxiv,included,relevant to axis 'efficiency-safety'; passed full-text screening (§3.2),efficiency-safety,efficiency-safety,efficiency-safety,yes,c
zandieh2025turboquant,TurboQuant,2026,arxiv,included,relevant to axis 'efficiency-safety'; passed full-text screening (§3.2),efficiency-safety,efficiency-safety,efficiency-safety,yes,c
zandieh2024qjl,QJL,2024,arxiv,included,relevant to axis 'efficiency-safety'; passed full-text screening (§3.2),efficiency-safety,efficiency-safety,efficiency-safety,yes,
zandieh2026polarquant,PolarQuant,2026,arxiv,included,relevant to axis 'efficiency-safety'; passed full-text screening (§3.2),efficiency-safety,efficiency-safety,efficiency-safety,yes,c
ease2025,EASE,2026,arxiv,included,relevant to axis 'efficiency-safety'; passed full-text screening (§3.2),efficiency-safety,efficiency-safety,efficiency-safety,yes,c
wang2024xsafety,XSafety,2024,arxiv,included,relevant to axis 'multilingual'; passed full-text screening (§3.2),multilingual,multilingual,multilingual,yes,
deng2024multilingual,Multilingual jailbreak challenges in large language models,2024,arxiv,included,relevant to axis 'multilingual'; passed full-text screening (§3.2),multilingual,multilingual,multilingual,yes,
yong2024lowresource,Low-resource languages jailbreak GPT-4,2024,arxiv,included,relevant to axis 'multilingual'; passed full-text screening (§3.2),multilingual,multilingual,multilingual,yes,
multilingualsparse2026,Multilingual Safety Alignment Via Sparse Weight Editing,2026,arxiv,included,relevant to axis 'multilingual'; passed full-text screening (§3.2),multilingual,multilingual,multilingual,yes,c
polyguard2025,PolyGuard,2025,arxiv,included,relevant to axis 'multilingual'; passed full-text screening (§3.2),multilingual,multilingual,multilingual,yes,
malert2025,M-ALERT,2025,arxiv,included,relevant to axis 'multilingual'; passed full-text screening (§3.2),multilingual,multilingual,multilingual,yes,
linguasafetybench2026,Lingua-SafetyBench,2026,arxiv,included,relevant to axis 'multilingual'; passed full-text screening (§3.2),multilingual,multilingual,multilingual,yes,c
elhage2021mathematical,A mathematical framework for transformer circuits,2021,manual-foundational,foundational,pre-2022 work essential to context; included regardless of citation threshold (§3.2),interpretability,interpretability,interpretability,yes,
elhage2022superposition,Toy models of superposition,2022,arxiv,included,relevant to axis 'interpretability'; passed full-text screening (§3.2),interpretability,interpretability,interpretability,yes,
bricken2023monosemanticity,Towards monosemanticity: Decomposing language models with dictionary learning,2023,arxiv,included,relevant to axis 'interpretability'; passed full-text screening (§3.2),interpretability,interpretability,interpretability,yes,
templeton2024scaling,Scaling monosemanticity: Extracting interpretable features from Claude,2024,arxiv,included,relevant to axis 'interpretability'; passed full-text screening (§3.2),interpretability,interpretability,interpretability,yes,
meng2022rome,Locating and editing factual associations in GPT,2022,arxiv,included,relevant to axis 'interpretability'; passed full-text screening (§3.2),interpretability,interpretability,interpretability,yes,
conmy2023acdc,Towards automated circuit discovery for mechanistic interpretability,2023,arxiv,included,relevant to axis 'interpretability'; passed full-text screening (§3.2),interpretability,interpretability,interpretability,yes,
hubinger2024sleeper,Sleeper agents: Training deceptive LLMs,2024,arxiv,included,relevant to axis 'interpretability'; passed full-text screening (§3.2),interpretability,interpretability,interpretability,yes,
greenblatt2024faking,Alignment faking in large language models,2024,arxiv,included,relevant to axis 'interpretability'; passed full-text screening (§3.2),interpretability,interpretability,interpretability,yes,
li2023iti,Inference-time intervention: Eliciting truthful answers from a language model,2023,arxiv,included,relevant to axis 'interpretability'; passed full-text screening (§3.2),interpretability,interpretability,interpretability,yes,
bereska2024mi,Mechanistic interpretability for AI,2024,arxiv,included,relevant to axis 'interpretability'; passed full-text screening (§3.2),interpretability,interpretability,interpretability,yes,
lindsey2025biology,On the Biology of a Large Language Model,2025,arxiv,included,relevant to axis 'interpretability'; passed full-text screening (§3.2),interpretability,interpretability,interpretability,yes,
yi2024superficial,Superficial safety alignment hypothesis,2024,arxiv,included,relevant to axis 'interpretability'; passed full-text screening (§3.2),interpretability,interpretability,interpretability,yes,
zhou2025hiddenrisks,The Hidden Risks of Large Reasoning Models: A Safety Assessment of R1,2025,arxiv,included,relevant to axis 'interpretability'; passed full-text screening (§3.2),interpretability,interpretability,interpretability,yes,
kuo2025hcot,H-CoT,2025,arxiv,included,relevant to axis 'interpretability'; passed full-text screening (§3.2),interpretability,interpretability,interpretability,yes,
openai2025deliberative,Deliberative Alignment: Reasoning Enables Safer Language Models,2025,arxiv,included,relevant to axis 'interpretability'; passed full-text screening (§3.2),interpretability,interpretability,interpretability,yes,
safepath2025,SafePath,2025,arxiv,included,relevant to axis 'interpretability'; passed full-text screening (§3.2),interpretability,interpretability,interpretability,yes,
star1_2025,STAR-1,2025,arxiv,included,relevant to axis 'interpretability'; passed full-text screening (§3.2),interpretability,interpretability,interpretability,yes,
thinksafe2026,ThinkSafe,2026,arxiv,included,relevant to axis 'interpretability'; passed full-text screening (§3.2),interpretability,interpretability,interpretability,yes,c
abdin2024phi3,Phi-3 technical report: A highly capable language model locally on your phone,2024,arxiv,included,relevant to axis 'background (cross-axis)'; passed full-text screening (§3.2),background (cross-axis),background (cross-axis),background (cross-axis),yes,
abdin2024phi4,Phi-4 technical report,2024,arxiv,included,relevant to axis 'background (cross-axis)'; passed full-text screening (§3.2),background (cross-axis),background (cross-axis),background (cross-axis),yes,
gemma2024,Gemma: Open models based on Gemini,2024,arxiv,included,relevant to axis 'background (cross-axis)'; passed full-text screening (§3.2),background (cross-axis),background (cross-axis),background (cross-axis),yes,
gemma2024b,Gemma 2: Improving open language models at a practical size,2024,arxiv,included,relevant to axis 'background (cross-axis)'; passed full-text screening (§3.2),background (cross-axis),background (cross-axis),background (cross-axis),yes,
gemma2025,Gemma 3 technical report,2025,arxiv,included,relevant to axis 'background (cross-axis)'; passed full-text screening (§3.2),background (cross-axis),background (cross-axis),background (cross-axis),yes,
gemma2026,Gemma 4 Technical Report,2026,arxiv,included,relevant to axis 'background (cross-axis)'; passed full-text screening (§3.2),background (cross-axis),background (cross-axis),background (cross-axis),yes,c
qwen2024,Qwen2.5 technical report,2024,arxiv,included,relevant to axis 'background (cross-axis)'; passed full-text screening (§3.2),background (cross-axis),background (cross-axis),background (cross-axis),yes,
qwen2025,Qwen3 technical report,2025,arxiv,included,relevant to axis 'background (cross-axis)'; passed full-text screening (§3.2),background (cross-axis),background (cross-axis),background (cross-axis),yes,
qwen2026_35,Qwen3.5 Technical Report,2026,arxiv,included,relevant to axis 'background (cross-axis)'; passed full-text screening (§3.2),background (cross-axis),background (cross-axis),background (cross-axis),yes,c
qwen2026_36,Qwen3.6-35B-A3B: Efficient Mixture-of-Experts with Gated DeltaNet,2026,arxiv,included,relevant to axis 'background (cross-axis)'; passed full-text screening (§3.2),background (cross-axis),background (cross-axis),background (cross-axis),yes,c
grattafiori2024llama3,The Llama,2024,arxiv,included,relevant to axis 'background (cross-axis)'; passed full-text screening (§3.2),background (cross-axis),background (cross-axis),background (cross-axis),yes,
touvron2023llama2,Llama 2: Open foundation and fine-tuned chat models,2023,arxiv,included,relevant to axis 'background (cross-axis)'; passed full-text screening (§3.2),background (cross-axis),background (cross-axis),background (cross-axis),yes,
jiang2023mistral,Mistral 7B,2023,arxiv,included,relevant to axis 'background (cross-axis)'; passed full-text screening (§3.2),background (cross-axis),background (cross-axis),background (cross-axis),yes,
zhang2024tinyllama,TinyLlama,2024,arxiv,included,relevant to axis 'background (cross-axis)'; passed full-text screening (§3.2),background (cross-axis),background (cross-axis),background (cross-axis),yes,
benallal2024smollm,SmolLM,2024,arxiv,included,relevant to axis 'background (cross-axis)'; passed full-text screening (§3.2),background (cross-axis),background (cross-axis),background (cross-axis),yes,
groeneveld2024olmo,OLMo,2024,arxiv,included,relevant to axis 'background (cross-axis)'; passed full-text screening (§3.2),background (cross-axis),background (cross-axis),background (cross-axis),yes,
mehta2024openelm,OpenELM,2024,arxiv,included,relevant to axis 'background (cross-axis)'; passed full-text screening (§3.2),background (cross-axis),background (cross-axis),background (cross-axis),yes,
phi4vision2026,Phi-4-reasoning-vision: Adaptive Visual Reasoning in a 15B Model,2026,arxiv,included,relevant to axis 'background (cross-axis)'; passed full-text screening (§3.2),background (cross-axis),background (cross-axis),background (cross-axis),yes,c
zou2023gcg,Universal and transferable adversarial attacks on aligned language models,2023,arxiv,included,relevant to axis 'post-training'; passed full-text screening (§3.2),post-training,post-training,post-training,yes,
liu2023autodan,AutoDAN,2024,arxiv,included,relevant to axis 'post-training'; passed full-text screening (§3.2),post-training,post-training,post-training,yes,
chao2023pair,Jailbreaking black box large language models in twenty queries,2023,arxiv,included,relevant to axis 'post-training'; passed full-text screening (§3.2),post-training,post-training,post-training,yes,
perez2022red,Red teaming language models with language models,2022,arxiv,included,relevant to axis 'post-training'; passed full-text screening (§3.2),post-training,post-training,post-training,yes,
bowen2024scaling,Scaling trends for data poisoning in LLMs,2024,arxiv,included,relevant to axis 'post-training'; passed full-text screening (§3.2),post-training,post-training,post-training,yes,
wei2024jailbroken,Jailbroken: How Does LLM,2024,arxiv,included,relevant to axis 'post-training'; passed full-text screening (§3.2),post-training,post-training,post-training,yes,
qi2024finetuning,"Fine-tuning Aligned Language Models Compromises Safety, Even When Users Do Not Intend To",2024,arxiv,included,relevant to axis 'post-training'; passed full-text screening (§3.2),post-training,post-training,post-training,yes,
perez2022ignore,Ignore This Title and HackAPrompt,2023,arxiv,included,relevant to axis 'post-training'; passed full-text screening (§3.2),post-training,post-training,post-training,yes,
huang2024lazy,Lazy Safety Alignment for Large Language Models against Harmful Fine-tuning,2024,arxiv,included,relevant to axis 'post-training'; passed full-text screening (§3.2),post-training,post-training,post-training,yes,
mitchell2022memit,Fast Model Editing at Scale,2022,arxiv,included,relevant to axis 'editing-unlearning'; passed full-text screening (§3.2),editing-unlearning,editing-unlearning,editing-unlearning,yes,
li2024wmdp,The WMDP,2024,arxiv,included,relevant to axis 'editing-unlearning'; passed full-text screening (§3.2),editing-unlearning,editing-unlearning,editing-unlearning,yes,
eldan2023whosharry,Who's Harry Potter,2023,arxiv,included,relevant to axis 'editing-unlearning'; passed full-text screening (§3.2),editing-unlearning,editing-unlearning,editing-unlearning,yes,
liu2024rmu,Rethinking Machine Unlearning for Large Language Models,2024,arxiv,included,relevant to axis 'editing-unlearning'; passed full-text screening (§3.2),editing-unlearning,editing-unlearning,editing-unlearning,yes,
longpre2024pretrainer,A Pretrainer's Guide to Training Data,2024,arxiv,included,relevant to axis 'data-centric'; passed full-text screening (§3.2),data-centric,data-centric,data-centric,yes,
wang2024toxicdata,"A Pretrainer's Guide to Training Data: Measuring the Effects of Data Age, Domain Coverage, Quality, and Toxicity",2024,arxiv,included,relevant to axis 'data-centric'; passed full-text screening (§3.2),data-centric,data-centric,data-centric,yes,
li2024datacentric,From Quantity to Quality: Boosting LLM,2024,arxiv,included,relevant to axis 'data-centric'; passed full-text screening (§3.2),data-centric,data-centric,data-centric,yes,
xu2024magpie,Magpie: Alignment Data Synthesis from Scratch by Prompting Aligned LLMs,2024,arxiv,included,relevant to axis 'data-centric'; passed full-text screening (§3.2),data-centric,data-centric,data-centric,yes,
bianchi2024safetytuned,Safety-Tuned LLaMAs,2024,arxiv,included,relevant to axis 'data-centric'; passed full-text screening (§3.2),data-centric,data-centric,data-centric,yes,
li2024safetysurvey,A survey on large language model safety,2024,arxiv,included,relevant to axis 'related-surveys'; passed full-text screening (§3.2),related-surveys,related-surveys,related-surveys,yes,
wang2024slmsurvey,A comprehensive survey of small language models in the era of large language models,2024,arxiv,included,relevant to axis 'related-surveys'; passed full-text screening (§3.2),related-surveys,related-surveys,related-surveys,yes,
lu2024slm,"Small language models: Survey, measurements, and insights",2024,arxiv,included,relevant to axis 'related-surveys'; passed full-text screening (§3.2),related-surveys,related-surveys,related-surveys,yes,
wan2024efficient,Efficient large language models: A survey,2024,arxiv,included,relevant to axis 'related-surveys'; passed full-text screening (§3.2),related-surveys,related-surveys,related-surveys,yes,
wang2024redteamsurvey,A survey on red teaming for generative models,2024,arxiv,included,relevant to axis 'related-surveys'; passed full-text screening (§3.2),related-surveys,related-surveys,related-surveys,yes,
yi2024jailbreaksurvey,Jailbreak attacks and defenses against large language models: A survey,2024,arxiv,included,relevant to axis 'related-surveys'; passed full-text screening (§3.2),related-surveys,related-surveys,related-surveys,yes,
gallegos2024bias,Bias and Fairness in Large Language Models: A Survey,2024,arxiv,included,relevant to axis 'related-surveys'; passed full-text screening (§3.2),related-surveys,related-surveys,related-surveys,yes,
