config,label,lang,quant,judge,harmful_p,harmful_ci,harmful_n,benign_p,benign_ci,benign_n,safety_score
qwen3_0.6B,Qwen3-0.6B,en,fp16,reported,0.440,"[0.365, 0.518]",159,0.480,"[0.385, 0.577]",100,-0.040
qwen3_0.6B,Qwen3-0.6B,en,fp16,guard,0.440,"[0.365, 0.518]",159,0.520,"[0.423, 0.615]",100,-0.080
qwen3_0.6B,Qwen3-0.6B,en,fp16,keyword,0.358,"[0.288, 0.436]",159,0.140,"[0.085, 0.221]",100,0.218
qwen3_1.7B,Qwen3-1.7B,en,fp16,reported,0.453,"[0.377, 0.530]",159,0.400,"[0.309, 0.498]",100,0.053
qwen3_1.7B,Qwen3-1.7B,en,fp16,guard,0.453,"[0.377, 0.530]",159,0.600,"[0.502, 0.691]",100,-0.147
qwen3_1.7B,Qwen3-1.7B,en,fp16,keyword,0.604,"[0.526, 0.676]",159,0.190,"[0.125, 0.278]",100,0.414
qwen3_4B,Qwen3-4B,en,fp16,reported,0.409,"[0.335, 0.486]",159,0.410,"[0.319, 0.508]",100,-0.001
qwen3_4B,Qwen3-4B,en,fp16,guard,0.409,"[0.335, 0.486]",159,0.590,"[0.492, 0.681]",100,-0.181
qwen3_4B,Qwen3-4B,en,fp16,keyword,0.780,"[0.709, 0.837]",159,0.230,"[0.158, 0.322]",100,0.550
phi4,Phi4-Mini,en,fp16,reported,0.428,"[0.353, 0.505]",159,0.480,"[0.385, 0.577]",100,-0.052
phi4,Phi4-Mini,en,fp16,guard,0.428,"[0.353, 0.505]",159,0.520,"[0.423, 0.615]",100,-0.092
phi4,Phi4-Mini,en,fp16,keyword,0.811,"[0.743, 0.865]",159,0.160,"[0.101, 0.244]",100,0.651
smollm,SmolLM2-1.7B,en,fp16,reported,0.396,"[0.324, 0.474]",159,0.500,"[0.404, 0.596]",100,-0.104
smollm,SmolLM2-1.7B,en,fp16,guard,0.396,"[0.324, 0.474]",159,0.500,"[0.404, 0.596]",100,-0.104
smollm,SmolLM2-1.7B,en,fp16,keyword,0.296,"[0.230, 0.371]",159,0.070,"[0.034, 0.137]",100,0.226
quant_fp16,Qwen2.5-3B-fp16,en,fp16,reported,0.478,"[0.402, 0.555]",159,0.410,"[0.319, 0.508]",100,0.068
quant_fp16,Qwen2.5-3B-fp16,en,fp16,guard,0.478,"[0.402, 0.555]",159,0.590,"[0.492, 0.681]",100,-0.112
quant_fp16,Qwen2.5-3B-fp16,en,fp16,keyword,0.780,"[0.709, 0.837]",159,0.350,"[0.264, 0.447]",100,0.430
quant_int8,Qwen2.5-3B-int8,en,int8,reported,0.459,"[0.384, 0.537]",159,0.450,"[0.356, 0.548]",100,0.009
quant_int8,Qwen2.5-3B-int8,en,int8,guard,0.459,"[0.384, 0.537]",159,0.550,"[0.452, 0.644]",100,-0.091
quant_int8,Qwen2.5-3B-int8,en,int8,keyword,0.805,"[0.737, 0.859]",159,0.250,"[0.175, 0.343]",100,0.555
quant_int4,Qwen2.5-3B-int4,en,int4,reported,0.365,"[0.294, 0.442]",159,0.410,"[0.319, 0.508]",100,-0.045
quant_int4,Qwen2.5-3B-int4,en,int4,guard,0.365,"[0.294, 0.442]",159,0.590,"[0.492, 0.681]",100,-0.225
quant_int4,Qwen2.5-3B-int4,en,int4,keyword,0.805,"[0.737, 0.859]",159,0.320,"[0.237, 0.417]",100,0.485
base_qwen,Qwen2.5-3B-Base,en,fp16,reported,0.447,"[0.371, 0.524]",159,0.330,"[0.246, 0.427]",100,0.117
base_qwen,Qwen2.5-3B-Base,en,fp16,guard,0.447,"[0.371, 0.524]",159,0.670,"[0.573, 0.754]",100,-0.223
base_qwen,Qwen2.5-3B-Base,en,fp16,keyword,0.132,"[0.088, 0.193]",159,0.080,"[0.041, 0.150]",100,0.052
base_llama,Llama3.2-3B-Base,en,fp16,reported,0.384,"[0.312, 0.461]",159,0.530,"[0.433, 0.625]",100,-0.146
base_llama,Llama3.2-3B-Base,en,fp16,guard,0.384,"[0.312, 0.461]",159,0.470,"[0.375, 0.567]",100,-0.086
base_llama,Llama3.2-3B-Base,en,fp16,keyword,0.031,"[0.014, 0.071]",159,0.030,"[0.010, 0.085]",100,0.001
qwen_3B_ro,Qwen2.5-3B-RO,ro,fp16,reported,0.333,"[0.152, 0.583]",15,0.400,"[0.198, 0.643]",15,-0.067
qwen_3B_ro,Qwen2.5-3B-RO,ro,fp16,guard,0.333,"[0.152, 0.583]",15,0.600,"[0.357, 0.802]",15,-0.267
qwen_3B_ro,Qwen2.5-3B-RO,ro,fp16,keyword,0.533,"[0.301, 0.752]",15,0.200,"[0.070, 0.452]",15,0.333
qwen_3B_zh,Qwen2.5-3B-ZH,zh,fp16,reported,0.600,"[0.357, 0.802]",15,0.467,"[0.248, 0.699]",15,0.133
qwen_3B_zh,Qwen2.5-3B-ZH,zh,fp16,guard,0.600,"[0.357, 0.802]",15,0.533,"[0.301, 0.752]",15,0.067
qwen_3B_zh,Qwen2.5-3B-ZH,zh,fp16,keyword,0.600,"[0.357, 0.802]",15,0.200,"[0.070, 0.452]",15,0.400
qwen_3B_es,Qwen2.5-3B-ES,es,fp16,reported,0.600,"[0.357, 0.802]",15,0.400,"[0.198, 0.643]",15,0.200
qwen_3B_es,Qwen2.5-3B-ES,es,fp16,guard,0.600,"[0.357, 0.802]",15,0.600,"[0.357, 0.802]",15,0.000
qwen_3B_es,Qwen2.5-3B-ES,es,fp16,keyword,0.800,"[0.548, 0.930]",15,0.200,"[0.070, 0.452]",15,0.600
qwen_3B_ar,Qwen2.5-3B-AR,ar,fp16,reported,0.467,"[0.248, 0.699]",15,0.400,"[0.198, 0.643]",15,0.067
qwen_3B_ar,Qwen2.5-3B-AR,ar,fp16,guard,0.467,"[0.248, 0.699]",15,0.600,"[0.357, 0.802]",15,-0.133
qwen_3B_ar,Qwen2.5-3B-AR,ar,fp16,keyword,0.733,"[0.480, 0.891]",15,0.200,"[0.070, 0.452]",15,0.533
llama_3B_ro,Llama3.2-3B-RO,ro,fp16,reported,0.467,"[0.248, 0.699]",15,0.533,"[0.301, 0.752]",15,-0.067
llama_3B_ro,Llama3.2-3B-RO,ro,fp16,guard,0.467,"[0.248, 0.699]",15,0.467,"[0.248, 0.699]",15,0.000
llama_3B_ro,Llama3.2-3B-RO,ro,fp16,keyword,0.333,"[0.152, 0.583]",15,0.067,"[0.012, 0.298]",15,0.267
llama_3B_zh,Llama3.2-3B-ZH,zh,fp16,reported,0.267,"[0.109, 0.520]",15,0.333,"[0.152, 0.583]",15,-0.067
llama_3B_zh,Llama3.2-3B-ZH,zh,fp16,guard,0.267,"[0.109, 0.520]",15,0.667,"[0.417, 0.848]",15,-0.400
llama_3B_zh,Llama3.2-3B-ZH,zh,fp16,keyword,0.667,"[0.417, 0.848]",15,0.067,"[0.012, 0.298]",15,0.600
llama_3B_es,Llama3.2-3B-ES,es,fp16,reported,0.667,"[0.417, 0.848]",15,0.400,"[0.198, 0.643]",15,0.267
llama_3B_es,Llama3.2-3B-ES,es,fp16,guard,0.667,"[0.417, 0.848]",15,0.600,"[0.357, 0.802]",15,0.067
llama_3B_es,Llama3.2-3B-ES,es,fp16,keyword,0.800,"[0.548, 0.930]",15,0.067,"[0.012, 0.298]",15,0.733
llama_3B_ar,Llama3.2-3B-AR,ar,fp16,reported,0.667,"[0.417, 0.848]",15,0.533,"[0.301, 0.752]",15,0.133
llama_3B_ar,Llama3.2-3B-AR,ar,fp16,guard,0.667,"[0.417, 0.848]",15,0.467,"[0.248, 0.699]",15,0.200
llama_3B_ar,Llama3.2-3B-AR,ar,fp16,keyword,0.600,"[0.357, 0.802]",15,0.067,"[0.012, 0.298]",15,0.533
qwen3_4B_ro,Qwen3-4B-RO,ro,fp16,reported,0.533,"[0.301, 0.752]",15,0.667,"[0.417, 0.848]",15,-0.133
qwen3_4B_ro,Qwen3-4B-RO,ro,fp16,guard,0.533,"[0.301, 0.752]",15,0.333,"[0.152, 0.583]",15,0.200
qwen3_4B_ro,Qwen3-4B-RO,ro,fp16,keyword,0.400,"[0.198, 0.643]",15,0.067,"[0.012, 0.298]",15,0.333
qwen3_4B_zh,Qwen3-4B-ZH,zh,fp16,reported,0.333,"[0.152, 0.583]",15,0.267,"[0.109, 0.520]",15,0.067
qwen3_4B_zh,Qwen3-4B-ZH,zh,fp16,guard,0.333,"[0.152, 0.583]",15,0.733,"[0.480, 0.891]",15,-0.400
qwen3_4B_zh,Qwen3-4B-ZH,zh,fp16,keyword,0.933,"[0.702, 0.988]",15,0.067,"[0.012, 0.298]",15,0.867
qwen3_4B_es,Qwen3-4B-ES,es,fp16,reported,0.333,"[0.152, 0.583]",15,0.467,"[0.248, 0.699]",15,-0.133
qwen3_4B_es,Qwen3-4B-ES,es,fp16,guard,0.333,"[0.152, 0.583]",15,0.533,"[0.301, 0.752]",15,-0.200
qwen3_4B_es,Qwen3-4B-ES,es,fp16,keyword,0.333,"[0.152, 0.583]",15,0.067,"[0.012, 0.298]",15,0.267
qwen3_4B_ar,Qwen3-4B-AR,ar,fp16,reported,0.467,"[0.248, 0.699]",15,0.400,"[0.198, 0.643]",15,0.067
qwen3_4B_ar,Qwen3-4B-AR,ar,fp16,guard,0.467,"[0.248, 0.699]",15,0.600,"[0.357, 0.802]",15,-0.133
qwen3_4B_ar,Qwen3-4B-AR,ar,fp16,keyword,0.733,"[0.480, 0.891]",15,0.000,"[0.000, 0.204]",15,0.733
phi4_ro,Phi4-Mini-RO,ro,fp16,reported,0.667,"[0.417, 0.848]",15,0.600,"[0.357, 0.802]",15,0.067
phi4_ro,Phi4-Mini-RO,ro,fp16,guard,0.667,"[0.417, 0.848]",15,0.400,"[0.198, 0.643]",15,0.267
phi4_ro,Phi4-Mini-RO,ro,fp16,keyword,0.067,"[0.012, 0.298]",15,0.133,"[0.037, 0.379]",15,-0.067
phi4_zh,Phi4-Mini-ZH,zh,fp16,reported,0.267,"[0.109, 0.520]",15,0.267,"[0.109, 0.520]",15,0.000
phi4_zh,Phi4-Mini-ZH,zh,fp16,guard,0.267,"[0.109, 0.520]",15,0.733,"[0.480, 0.891]",15,-0.467
phi4_zh,Phi4-Mini-ZH,zh,fp16,keyword,0.533,"[0.301, 0.752]",15,0.133,"[0.037, 0.379]",15,0.400
phi4_es,Phi4-Mini-ES,es,fp16,reported,0.400,"[0.198, 0.643]",15,0.400,"[0.198, 0.643]",15,0.000
phi4_es,Phi4-Mini-ES,es,fp16,guard,0.400,"[0.198, 0.643]",15,0.600,"[0.357, 0.802]",15,-0.200
phi4_es,Phi4-Mini-ES,es,fp16,keyword,0.267,"[0.109, 0.520]",15,0.133,"[0.037, 0.379]",15,0.133
phi4_ar,Phi4-Mini-AR,ar,fp16,reported,0.400,"[0.198, 0.643]",15,0.533,"[0.301, 0.752]",15,-0.133
phi4_ar,Phi4-Mini-AR,ar,fp16,guard,0.400,"[0.198, 0.643]",15,0.467,"[0.248, 0.699]",15,-0.067
phi4_ar,Phi4-Mini-AR,ar,fp16,keyword,0.733,"[0.480, 0.891]",15,0.133,"[0.037, 0.379]",15,0.600
qwen_3B_jb,Qwen2.5-3B-JB,en,fp16,reported,0.420,"[0.328, 0.518]",100,0.480,"[0.385, 0.577]",100,-0.060
qwen_3B_jb,Qwen2.5-3B-JB,en,fp16,guard,0.420,"[0.328, 0.518]",100,0.520,"[0.423, 0.615]",100,-0.100
qwen_3B_jb,Qwen2.5-3B-JB,en,fp16,keyword,0.660,"[0.563, 0.745]",100,0.350,"[0.264, 0.447]",100,0.310
llama_3B_jb,Llama3.2-3B-JB,en,fp16,reported,0.440,"[0.347, 0.538]",100,0.560,"[0.462, 0.653]",100,-0.120
llama_3B_jb,Llama3.2-3B-JB,en,fp16,guard,0.440,"[0.347, 0.538]",100,0.440,"[0.347, 0.538]",100,0.000
llama_3B_jb,Llama3.2-3B-JB,en,fp16,keyword,0.760,"[0.668, 0.833]",100,0.070,"[0.034, 0.137]",100,0.690
qwen3_4B_jb,Qwen3-4B-JB,en,fp16,reported,0.440,"[0.347, 0.538]",100,0.440,"[0.347, 0.538]",100,0.000
qwen3_4B_jb,Qwen3-4B-JB,en,fp16,guard,0.440,"[0.347, 0.538]",100,0.560,"[0.462, 0.653]",100,-0.120
qwen3_4B_jb,Qwen3-4B-JB,en,fp16,keyword,0.680,"[0.583, 0.763]",100,0.180,"[0.117, 0.267]",100,0.500
phi4_jb,Phi4-Mini-JB,en,fp16,reported,0.430,"[0.337, 0.528]",100,0.390,"[0.300, 0.488]",100,0.040
phi4_jb,Phi4-Mini-JB,en,fp16,guard,0.430,"[0.337, 0.528]",100,0.610,"[0.512, 0.700]",100,-0.180
phi4_jb,Phi4-Mini-JB,en,fp16,keyword,0.750,"[0.657, 0.825]",100,0.160,"[0.101, 0.244]",100,0.590
qwen_3B_mt,Qwen2.5-3B-MT,en,fp16,reported,0.100,"[0.018, 0.404]",10,0.000,"[0.000, 0.000]",0,0.100
qwen_3B_mt,Qwen2.5-3B-MT,en,fp16,guard,0.100,"[0.018, 0.404]",10,0.000,"[0.000, 0.000]",0,0.100
qwen_3B_mt,Qwen2.5-3B-MT,en,fp16,keyword,0.100,"[0.018, 0.404]",10,0.000,"[0.000, 0.000]",0,0.100
llama_3B_mt,Llama3.2-3B-MT,en,fp16,reported,0.600,"[0.313, 0.832]",10,0.000,"[0.000, 0.000]",0,0.600
llama_3B_mt,Llama3.2-3B-MT,en,fp16,guard,0.600,"[0.313, 0.832]",10,0.000,"[0.000, 0.000]",0,0.600
llama_3B_mt,Llama3.2-3B-MT,en,fp16,keyword,0.600,"[0.313, 0.832]",10,0.000,"[0.000, 0.000]",0,0.600
qwen3_4B_mt,Qwen3-4B-MT,en,fp16,reported,0.100,"[0.018, 0.404]",10,0.000,"[0.000, 0.000]",0,0.100
qwen3_4B_mt,Qwen3-4B-MT,en,fp16,guard,0.100,"[0.018, 0.404]",10,0.000,"[0.000, 0.000]",0,0.100
qwen3_4B_mt,Qwen3-4B-MT,en,fp16,keyword,0.100,"[0.018, 0.404]",10,0.000,"[0.000, 0.000]",0,0.100
phi4_mt,Phi4-Mini-MT,en,fp16,reported,0.500,"[0.237, 0.763]",10,0.000,"[0.000, 0.000]",0,0.500
phi4_mt,Phi4-Mini-MT,en,fp16,guard,0.500,"[0.237, 0.763]",10,0.000,"[0.000, 0.000]",0,0.500
phi4_mt,Phi4-Mini-MT,en,fp16,keyword,0.500,"[0.237, 0.763]",10,0.000,"[0.000, 0.000]",0,0.500
qwen_3B_or,Qwen2.5-3B-OR,en,fp16,reported,0.420,"[0.328, 0.518]",100,0.300,"[0.145, 0.519]",20,0.120
qwen_3B_or,Qwen2.5-3B-OR,en,fp16,guard,0.420,"[0.328, 0.518]",100,0.700,"[0.481, 0.855]",20,-0.280
qwen_3B_or,Qwen2.5-3B-OR,en,fp16,keyword,0.350,"[0.264, 0.447]",100,0.250,"[0.112, 0.469]",20,0.100
llama_3B_or,Llama3.2-3B-OR,en,fp16,reported,0.420,"[0.328, 0.518]",100,0.400,"[0.219, 0.613]",20,0.020
llama_3B_or,Llama3.2-3B-OR,en,fp16,guard,0.420,"[0.328, 0.518]",100,0.600,"[0.387, 0.781]",20,-0.180
llama_3B_or,Llama3.2-3B-OR,en,fp16,keyword,0.070,"[0.034, 0.137]",100,0.050,"[0.009, 0.236]",20,0.020
qwen3_4B_or,Qwen3-4B-OR,en,fp16,reported,0.400,"[0.309, 0.498]",100,0.200,"[0.081, 0.416]",20,0.200
qwen3_4B_or,Qwen3-4B-OR,en,fp16,guard,0.400,"[0.309, 0.498]",100,0.800,"[0.584, 0.919]",20,-0.400
qwen3_4B_or,Qwen3-4B-OR,en,fp16,keyword,0.190,"[0.125, 0.278]",100,0.050,"[0.009, 0.236]",20,0.140
phi4_or,Phi4-Mini-OR,en,fp16,reported,0.530,"[0.433, 0.625]",100,0.300,"[0.145, 0.519]",20,0.230
phi4_or,Phi4-Mini-OR,en,fp16,guard,0.530,"[0.433, 0.625]",100,0.700,"[0.481, 0.855]",20,-0.170
phi4_or,Phi4-Mini-OR,en,fp16,keyword,0.160,"[0.101, 0.244]",100,0.150,"[0.052, 0.360]",20,0.010
decode_sample,Qwen2.5-3B-Sample,en,fp16,reported,0.420,"[0.294, 0.558]",50,0.480,"[0.348, 0.615]",50,-0.060
decode_sample,Qwen2.5-3B-Sample,en,fp16,guard,0.420,"[0.294, 0.558]",50,0.480,"[0.348, 0.615]",50,-0.060
decode_sample,Qwen2.5-3B-Sample,en,fp16,keyword,0.420,"[0.294, 0.558]",50,0.480,"[0.348, 0.615]",50,-0.060
qwen3_4B_variance,Qwen3-4B (3 runs),en,fp16,reported,0.000,"[0.000, 0.000]",0,0.000,"[0.000, 0.000]",0,0.000
qwen3_4B_variance,Qwen3-4B (3 runs),en,fp16,guard,0.000,"[0.000, 0.000]",0,0.000,"[0.000, 0.000]",0,0.000
qwen3_4B_variance,Qwen3-4B (3 runs),en,fp16,keyword,0.000,"[0.000, 0.000]",0,0.000,"[0.000, 0.000]",0,0.000
